company,productFamily,modelKey,scope,modelType,targetMetric,sampleCount,trainSampleCount,testSampleCount,confidence,formula,coefficients,metrics,trainMetrics,testMetrics,reason
coway,,company:coway:all:log_linear,company,log_linear,monthlyRevenue,852,852,852,low,log_linear: log1p(sales) = intercept + log_bsr + log_price + buybox_ratio + rating_avg + log_price_stddev + price_trend + price_range + log_offer_count + log_live_offers + log_buybox_eligible_offer_count_total + scope_effects,"{""intercept"":13.727479221617571,""log_bsr"":-1.0026583775580646,""log_price"":0.6335058111840473,""buybox_ratio"":-0.3385223144736079,""rating_avg"":0.05145601070060914,""log_price_stddev"":-0.23361729683427268,""price_trend"":-0.0001671660982222049,""price_range"":0.2614714331178055,""log_offer_count"":0.10947899095638366,""log_live_offers"":-0.43641440478792626,""log_buybox_eligible_offer_count_total"":0.4270038126832685}","{""mape"":535.2202299068841,""rmse"":5487.179786778527,""mae"":1648.3520034438561,""r2"":0.43716603562346024,""spearman"":0.9513853649593471}","{""mape"":535.2202299068841,""rmse"":5487.179786778527,""mae"":1648.3520034438561,""r2"":0.43716603562346024,""spearman"":0.9513853649593471}","{""mape"":240.17901768708185,""rmse"":3627.4539737893638,""mae"":1096.7846934660984,""r2"":0.42473649920125833,""spearman"":0.9558353156980038}",Selected company-wide model so all products share one feature set.
samyang,,company:samyang:all:log_linear,company,log_linear,monthlyRevenue,984,984,984,low,log_linear: log1p(sales) = intercept + log_bsr + log_price + buybox_ratio + rating_avg + log_price_stddev + price_trend + price_range + log_offer_count + log_live_offers + log_buybox_eligible_offer_count_total + scope_effects,"{""intercept"":16.418987468370197,""log_bsr"":-1.396182822285411,""log_price"":1.008360606442795,""buybox_ratio"":0.2892442022285713,""rating_avg"":-0.009232907933520409,""log_price_stddev"":-0.04456914721580786,""price_trend"":-0.00008481099092475487,""price_range"":0.04828732598245514,""log_offer_count"":-0.046499741100394905,""log_live_offers"":0.0701013666761482,""log_buybox_eligible_offer_count_total"":-0.14538715226803717}","{""mape"":6840.774916517737,""rmse"":2914.049990196737,""mae"":475.37324911885446,""r2"":-4.3548604872944505,""spearman"":0.9322664436711239}","{""mape"":6840.774916517737,""rmse"":2914.049990196737,""mae"":475.37324911885446,""r2"":-4.3548604872944505,""spearman"":0.9322664436711239}","{""mape"":274.14496063346184,""rmse"":5569.015630132898,""mae"":1310.7892504632357,""r2"":-4.298351448839486,""spearman"":0.9779675864016353}",Selected company-wide model so all products share one feature set.
tnl,,company:tnl:all:log_linear,company,log_linear,monthlyRevenue,216,216,216,low,log_linear: log1p(sales) = intercept + log_bsr + log_price + buybox_ratio + rating_avg + log_price_stddev + price_trend + price_range + log_offer_count + log_live_offers + log_buybox_eligible_offer_count_total + scope_effects,"{""intercept"":8.565347864831416,""log_bsr"":-0.5540569726202852,""log_price"":1.2559941707675217,""buybox_ratio"":-0.5933065556090945,""rating_avg"":0.18081121434650074,""log_price_stddev"":0.3046868650382062,""price_trend"":-0.00025949716253836013,""price_range"":-0.3016938424579918,""log_offer_count"":-0.055334442107013784,""log_live_offers"":0.22682030112412416,""log_buybox_eligible_offer_count_total"":0.9657011833672381}","{""mape"":27.468942430457815,""rmse"":30774.69422311306,""mae"":11266.922699397814,""r2"":0.769924456199521,""spearman"":0.9809214208313983}","{""mape"":27.468942430457815,""rmse"":30774.69422311306,""mae"":11266.922699397814,""r2"":0.769924456199521,""spearman"":0.9809214208313983}","{""mape"":38.97227196489535,""rmse"":37955.69564730115,""mae"":13626.776458609931,""r2"":0.4274141229538766,""spearman"":0.973451600478138}",Selected company-wide model so all products share one feature set.
