company,quarter,estimatedAmazonRevenueUsd,estimatedAmazonRevenueKrw,dartRevenueKrw,estimatedIndex,dartIndex,indexGap,revenueRatio,monthsPresent,confidence
coway,2016-Q2,256.38419847046174,346118.6679351234,,100,,,,1,not_enough_data
coway,2016-Q3,738.2880909244504,996688.922748008,,287.9616198380921,,,,3,not_enough_data
coway,2016-Q4,1258.021952180215,1698329.6354432902,,490.6784270190321,,,,3,low
coway,2017-Q1,1579.0123245349616,2131666.638122198,,615.8773957034178,,,,3,low
coway,2017-Q2,3943.1696283392384,5323278.998257972,,1537.9924550200135,,,,3,low
coway,2017-Q3,6285.166894430584,8484975.307481289,,2451.464221245563,,,,3,low
coway,2017-Q4,8009.34777950007,10812619.502325095,,3123.9631097713045,,,,3,low
coway,2018-Q1,6003.235323270275,8104367.686414871,,2341.499733245812,,,,3,low
coway,2018-Q2,6174.139637553104,8335088.5106966905,,2408.1591901477627,,,,3,low
coway,2018-Q3,6302.1198545343095,8507861.803621318,,2458.0765476700712,,,,3,low
coway,2018-Q4,5843.195594770555,7888314.0529402485,,2279.0778954514058,,,,3,low
coway,2019-Q1,5479.3465825134035,7397117.886393094,709258056410,2137.162358367684,100,2037.1623583676842,0.000010429374498521102,3,low
coway,2019-Q2,5682.77091573953,7671740.736248366,755459762874,2216.5059116910625,106.5140897655581,2109.991821925504,0.000010155062007621316,3,low
coway,2019-Q3,4842.6626070751,6537594.519551385,759583663242,1888.8303709688362,107.09552840142973,1781.7348425674065,0.000008606812963364823,3,low
coway,2019-Q4,4101.752209941298,5537365.483420753,794611020181,1599.845947765718,112.03411973958039,1487.8118280261376,0.0000069686492419390655,3,low
coway,2020-Q1,4934.661568631925,6661793.117653098,768937144317,1924.7136126450678,108.41429820467225,1816.2993144403956,0.000008663638070924981,3,low
coway,2020-Q2,4368.27504847313,5897171.315438725,805503697721,1703.8004192666353,113.56990455605956,1590.2305147105758,0.0000073210977579910644,3,low
coway,2020-Q3,6348.768652136479,8570837.680384247,800403078230,2476.271427807173,112.8507559408408,2363.420671866332,0.00001070815182187664,3,low
coway,2020-Q4,5248.104068075458,7084940.491901868,862567554826,2046.968611710326,121.61547507715254,1925.3531366331736,0.000008213780419008533,3,low
coway,2021-Q1,7774.882363089183,10496091.190170396,878992033732,3032.5123035946126,123.93120187892262,2908.58110171569,0.00001194105382913015,3,low
coway,2021-Q2,7263.427535574098,9805627.173025033,905394062456,2833.024647738158,127.65368743765384,2705.370960300504,0.000010830231365142802,3,low
coway,2021-Q3,9027.224438778841,12186752.992351435,933991198537,3520.9753536425046,131.6856664645468,3389.2896871779576,0.000013048038366357965,3,low
coway,2021-Q4,8551.901994297237,11545067.69230127,945882262063,3335.5807593900954,133.3622161235226,3202.218543266573,0.000012205607563800913,3,low
coway,2022-Q1,8944.415152956413,12074960.456491157,928001335774,3488.6764497644763,130.84114130069906,3357.8353084637774,0.000013011792107411172,3,low
coway,2022-Q2,9536.605788545878,12874417.814536935,978162757858,3719.654270988389,137.91352089944462,3581.740750088944,0.000013161836014621522,3,low
coway,2022-Q3,10058.38449935819,13578819.074133556,969751715025,3923.168650550446,136.72762773164985,3786.441022818796,0.000014002366650914866,3,low
coway,2022-Q4,9483.647392454224,12802923.979813203,980217086427,3698.9983973395474,138.20316562754235,3560.7952317120053,0.000013061314842491964,3,low
coway,2023-Q1,10063.086745080891,13585167.105859203,948294285511,3925.0027127706426,133.70229311330098,3791.3004196573415,0.000014325897892064878,3,low
coway,2023-Q2,11150.127091711202,15052671.573810123,1006168606391,4348.991536229881,141.8621328721806,4207.1294033577,0.000014960386835961976,3,low
coway,2023-Q3,11846.967167297895,15993405.675852157,1007673617375,4620.786787163404,142.07432799219347,4478.712459171211,0.000015871612990637922,3,low
coway,2023-Q4,10941.637798453135,14771211.027911732,1004383212646,4267.672447728377,141.61040591203343,4126.0620418163435,0.00001470674822311862,3,low
coway,2024-Q1,11434.577840619731,15436680.084836638,1001835311067,4459.938603406996,141.25117113761345,4318.687432269382,0.000015408400876183806,3,low
coway,2024-Q2,10625.3734325035,14344254.133879725,1082259100116,4144.316808872158,152.5903146724892,3991.7264941996687,0.00001325399262740527,3,low
coway,2024-Q3,10905.410898331418,14722304.712747414,1100336376251,4253.542520713437,155.13907333256006,4098.403447380877,0.000013379821871297544,3,low
coway,2024-Q4,11271.39391591507,15216381.786485346,1125710907162,4396.290404462527,158.71668950225666,4237.57371496027,0.0000135171309877835,3,low
coway,2025-Q1,12090.171769493769,16321731.888816588,1174919203981,4715.646222201439,165.65468567646639,4549.991536524973,0.000013891790885290978,3,low
coway,2025-Q2,12051.380604245312,16269363.815731172,1258874709586,4700.516130144332,177.49177442663884,4523.024355717694,0.000012923735532888414,3,low
coway,2025-Q3,10618.309796442369,14334718.225197198,1254400659845,4141.561710818818,176.86096738813356,3964.7007434306843,0.00001142754359437954,3,low
coway,2025-Q4,13706.967274669138,18504405.820803337,1275371499699,5346.260556010175,179.8176965594801,5166.442859450694,0.000014509031937102685,3,low
