company,productFamily,asin,productName,month,split,kind,actualSales,actualRevenue,observedPrice,observedBsr,predictedSales,predictedRevenue,demandIndex,priceUsedForRevenue,confidence,modelKey,modelType,notes
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-07,holdout,keepa_backcast_estimate,,,399.98,284507,0.7282196512221708,291.2732960958439,99.99806915407517,399.98,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-08,holdout,keepa_backcast_estimate,,,399.98,284507,0.7282196512221708,291.2732960958439,99.99806915407517,399.98,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-10,holdout,keepa_backcast_estimate,,,255.5,284507,0.8064513666722287,206.04832418475445,70.73918154216395,255.5,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-11,holdout,keepa_backcast_estimate,,,206.63,284507,0.8463919453647936,174.8899676707273,60.042095571084175,206.63,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-12,holdout,keepa_backcast_estimate,,,255.5,284507,0.8064513666722287,206.04832418475445,70.73918154216395,255.5,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-05,holdout,keepa_backcast_estimate,,,369.99,284507,0.7412572263253207,274.2577611681054,94.15640546157626,369.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-06,holdout,keepa_backcast_estimate,,,399.985,284507,0.72821757859277,291.2761081734291,99.99903457841239,399.985,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-08,holdout,keepa_backcast_estimate,,,399.99,284507,0.7282155059951632,291.2789202430053,100,399.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-09,holdout,keepa_backcast_estimate,,,399.98,284507,0.7282196512221708,291.2732960958439,99.99806915407517,399.98,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2020-08,holdout,keepa_backcast_estimate,,,399.985,284507,0.72821757859277,291.2761081734291,99.99903457841239,399.985,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2020-12,holdout,keepa_backcast_estimate,,,409.99,284507,0.7241327724266502,296.8871953672023,101.92539683939992,409.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2021-03,holdout,keepa_backcast_estimate,,,409.99,284507,0.7241327724266502,296.8871953672023,101.92539683939992,409.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2021-08,holdout,keepa_backcast_estimate,,,419.99,284507,0.720170447889885,302.46438640927283,103.84012209223236,419.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2022-01,holdout,keepa_backcast_estimate,,,449.99,284507,0.7089452482565974,319.0182722629863,109.52329540250933,449.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2024-03,holdout,keepa_backcast_estimate,,,439.99,284507,0.7125823051384387,313.5290884378616,107.63878421970723,439.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker  110V  Black,2024-05,holdout,observed_jungle_scout_estimate,,,0,,0.720170447889885,302.46438640927283,103.84012209223236,419.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,"[""monthly_sales_missing""]"
coway,Other,B0078OMNN8,Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker  110V  Black,2024-06,test,observed_jungle_scout_estimate,,,0,,0.7661632222450356,245.17223111841142,84.1709489014418,320,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,"[""monthly_sales_missing""]"
