modelKey,scope,company,productFamily,modelType,targetMetric,sampleCount,selected,activeFeatures,targetTransform,featureScaleMode,lambda,featureStats,formula,coefficients,mape,rmse,mae,r2,spearman,confidence,notes
company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,company,coway,,ridge_search,monthlyRevenue,461,true,log_bsr|log_price|rating_avg|log_buybox_eligible_offer_count_total|log_live_offers|log_offer_count,asinh,none,1,"{""log_bsr"":{""mean"":10.80339244871121,""std"":1.6073264999229975,""median"":11.336492536124275,""mad"":0.9018697551320418},""log_price"":{""mean"":4.729595083910423,""std"":1.0319100023439163,""median"":4.763254134188536,""mad"":0.645368005009515},""rating_avg"":{""mean"":4.039479392624746,""std"":1.0885536136308913,""median"":4.4,""mad"":0.10000000000000053},""log_buybox_eligible_offer_count_total"":{""mean"":1.6405002347404039,""std"":0.6642902908603848,""median"":1.791759469228055,""mad"":0.4054651081081646},""log_live_offers"":{""mean"":1.438754137566311,""std"":0.5532619917165233,""median"":1.6094379124341003,""mad"":0.33647223662121295},""log_offer_count"":{""mean"":3.261009116801897,""std"":1.2260920223269918,""median"":3.4965075614664802,""mad"":0.7239188392266991}}",target=asinh; scale=none; lambda=1; features=log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,"{""intercept"":11.181633415543578,""log_bsr"":-0.8388193733333653,""log_price"":0.7715986994673636,""rating_avg"":0.1729886057426572,""log_buybox_eligible_offer_count_total"":0.8491029948091442,""log_live_offers"":-0.8135985667903753,""log_offer_count"":0.14849369626303943}",77.16184125838545,3234.0274195845495,1365.6259145426627,0.841049787844228,0.9458422083433873,low,"features=log_bsr,log_price,rating_avg,log_buybox_eligible_offer_count_total,log_live_offers,log_offer_count | target=asinh | scale=none | lambda=1"
company:samyang:ridge:none:log1p:lambda1:log_bsr+log_price+rating_avg+log_live_offers+log_buybox_eligible_offer_count_total,company,samyang,,ridge_search,monthlyRevenue,655,true,log_bsr|log_price|rating_avg|log_live_offers|log_buybox_eligible_offer_count_total,log1p,none,1,"{""log_bsr"":{""mean"":10.373899709761783,""std"":1.3270381559171902,""median"":10.550212887245545,""mad"":0.8256905284121085},""log_price"":{""mean"":2.5603592808881666,""std"":0.5405172021169725,""median"":2.630611626610338,""mad"":0.2811429477174414},""rating_avg"":{""mean"":4.301068702290076,""std"":0.8575744704567834,""median"":4.5,""mad"":0.09999999999999964},""log_live_offers"":{""mean"":1.4024991932734436,""std"":0.7660278099644237,""median"":1.6094379124341003,""mad"":0.47000362924573547},""log_buybox_eligible_offer_count_total"":{""mean"":1.4161646242002162,""std"":0.786759949793466,""median"":1.6094379124341003,""mad"":0.5108256237659907}}",target=log1p; scale=none; lambda=1; features=log_bsr+log_price+rating_avg+log_live_offers+log_buybox_eligible_offer_count_total,"{""intercept"":13.534143270199005,""log_bsr"":-1.216509789095191,""log_price"":1.1365885067873212,""rating_avg"":0.1216471846377799,""log_live_offers"":0.3792279265068287,""log_buybox_eligible_offer_count_total"":-0.27665513604598047}",51.04845136120697,1263.8729627764048,251.39558204007864,0.1860317193432297,0.9783382214030838,low,"features=log_bsr,log_price,rating_avg,log_live_offers,log_buybox_eligible_offer_count_total | target=log1p | scale=none | lambda=1"
company:tnl:ridge:zscore:asinh:lambda1:log_bsr+rating_avg+log_offer_count+log_price+log_live_offers,company,tnl,,ridge_search,monthlyRevenue,216,true,log_bsr|rating_avg|log_offer_count|log_price|log_live_offers,asinh,zscore,1,"{""log_bsr"":{""mean"":6.532108955771823,""std"":2.5947153175056825,""median"":7.3523547632096085,""mad"":1.1308462056067694},""rating_avg"":{""mean"":4.542129629629636,""std"":0.17907452889750328,""median"":4.6,""mad"":0.10000000000000053},""log_offer_count"":{""mean"":1.6479554107779733,""std"":1.6919440553636615,""median"":1.0986122886681096,""mad"":1.0986122886681096},""log_price"":{""mean"":2.8156156027287813,""std"":0.31208335662917636,""median"":2.8350588345737417,""mad"":0.16398197647939705},""log_live_offers"":{""mean"":0.4667017328102883,""std"":0.4103719462428583,""median"":0.6931471805599453,""mad"":0}}",target=asinh; scale=zscore; lambda=1; features=log_bsr+rating_avg+log_offer_count+log_price+log_live_offers,"{""intercept"":9.980463856222288,""log_bsr"":-1.4126639506945857,""rating_avg"":0.043015300098106064,""log_offer_count"":-0.11329769752998287,""log_price"":0.3792319901911928,""log_live_offers"":0.13501865465469623}",28.464662316338064,23203.117728913254,9400.638837829369,0.8692096652359773,0.9805260839019279,low,"features=log_bsr,rating_avg,log_offer_count,log_price,log_live_offers | target=asinh | scale=zscore | lambda=1"
