modelKey,company,productFamily,asin,month,split,actualSales,predictedSales,actualRevenue,predictedRevenue,priceUsedForRevenue
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-06,train,298.1666666666667,202.40699633511957,12309.465,8351.852420777266,41.262666666666696
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-07,train,276.93548387096774,181.2650242667017,10349.31387096774,6950.695064389385,38.34548387096774
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-08,train,259.35483870967744,167.12994363360207,10485.936129032261,6756.794056681317,40.428387096774195
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-09,train,205.1,110.66463692320545,8592.405,4636.184299260771,41.89400000000001
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-10,train,203.06451612903226,101.56462740445873,7609.115806451611,3842.812347588314,37.836129032258064
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-11,train,139.63333333333333,73.10833079814098,5891.4209999999985,3080.0052376384815,42.12933333333334
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2025-12,train,138.32258064516128,62.37796406855007,5899.493548387097,2664.987844247392,42.723225806451644
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2026-01,train,134.1290322580645,59.44541417375574,5633.419354838709,2496.707395297741,42
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2026-02,train,172.78571428571428,74.68284017017159,7010.073928571429,2965.1488067420732,39.70321428571429
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2026-03,train,120.09677419354838,61.73832229437501,5043.412903225806,2592.6112246070124,41.99354838709677
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2026-04,train,124.4,54.46621218969353,5076.196666666667,2221.640484409473,40.789333333333346
global:all:all:simple_power_law,samyang,Buldak core ramen,B001AY9GVO,2026-05,train,133.12,60.601994957848746,5390.042,2454.9868157424526,40.51
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-06,train,10.4,9.596708321934672,143.00333333333336,132.0986900514308,13.765000000000004
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-07,train,7.387096774193548,7.207821781954405,101.05225806451614,98.60067687333567,13.679677419354844
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-08,train,7.903225806451613,8.27004452431821,109.81290322580647,114.69484652710094,13.868709677419359
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-09,train,10.1,8.624816093898575,141.299,120.66117715364112,13.990000000000006
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-10,train,12.03225806451613,9.83574568525329,163.4287096774194,133.2108976114063,13.543548387096779
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-11,train,7.4,6.322201457940646,106.79266666666666,90.97647897976593,14.390000000000006
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2025-12,train,10.32258064516129,7.690404948271649,154.7161290322581,115.25932396827395,14.987419354838716
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2026-01,train,7.129032258064516,6.102917628143453,106.93548387096774,91.5437644221518,15
global:all:all:simple_power_law,samyang,Buldak core ramen,B006H08J2I,2026-02,train,7.321428571428571,6.2587648903417135,110.70607142857143,94.64593678101744,15.122142857142856
