company,company_label,country_scope,month,quarter,export_value_usd,export_value_krw,export_weight_kg
"samyang","삼양식품","total","2004-07","2004-Q3","13765526","15755566365","5046547.5"
"samyang","삼양식품","total","2004-08","2004-Q3","12851660","14770190052","4786015.2"
"samyang","삼양식품","total","2004-09","2004-Q3","15220707","17313385073","5494482"
"samyang","삼양식품","total","2004-10","2004-Q4","14849144","16869728419","5413776.7"
"samyang","삼양식품","total","2004-11","2004-Q4","15139269","16598977143","5394312.1"
"samyang","삼양식품","total","2004-12","2004-Q4","13789438","14383694220","4951094.9"
"samyang","삼양식품","total","2005-01","2005-Q1","11982704","12342340365","4182546.7"
"samyang","삼양식품","total","2005-02","2005-Q1","11948302","12144222581","4502489.3"
"samyang","삼양식품","total","2005-03","2005-Q1","14005941","13953452839","4861481.2"
"samyang","삼양식품","total","2005-04","2005-Q2","15250706","15324308601","5276860.4"
