company,source_folder,file_name,file_path,asin,report_generated_at,raw_row_count,raw_column_count,raw_columns,date_column,asin_column,product_name_column,brand_column,category_column,price_column,monthly_sales_column,monthly_revenue_column,bsr_column,reviews_column,rating_column,sellers_column,derived_monthly_revenue,date_source,filename_date_hint,date_min,date_max,distinct_months,date_missing_rows,price_nonzero_rows,price_zero_rows,price_na_rows,monthly_sales_na_rows,bsr_na_rows,reviews_na_rows,rating_na_rows,sellers_na_rows,auto_mappable_columns,uncertain_columns,missing_standard_columns,numeric_format_flags,data_quality_warnings
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_05 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_05 GMT+0900 (한국 표준시).csv","B07R6CCY28","Tue May 26 2026 13:54:05 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","719","11","0","1","1","479","479","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_06 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_06 GMT+0900 (한국 표준시).csv","B0DX83PP16","Tue May 26 2026 13:54:06 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","329","401","0","294","294","562","562","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_08 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_08 GMT+0900 (한국 표준시).csv","B07PKGDPBJ","Tue May 26 2026 13:54:08 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","718","12","0","1","1","480","480","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_10 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_10 GMT+0900 (한국 표준시).csv","B095WGBM73","Tue May 26 2026 13:54:10 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","725","5","0","1","1","298","298","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_12 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_12 GMT+0900 (한국 표준시).csv","B0GP3635BP","Tue May 26 2026 13:54:12 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","11","719","0","719","719","730","730","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","price is zero in 719/730 rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_14 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_14 GMT+0900 (한국 표준시).csv","B084ZRCYMP","Tue May 26 2026 13:54:14 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","712","18","0","1","1","296","296","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_16 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_16 GMT+0900 (한국 표준시).csv","B0FJZCCZ6P","Tue May 26 2026 13:54:16 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","126","604","0","516","516","622","622","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_21 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_21 GMT+0900 (한국 표준시).csv","B0FJDRLMXM","Tue May 26 2026 13:54:21 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","250","480","0","428","428","496","496","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_23 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_23 GMT+0900 (한국 표준시).csv","B0FBRGSN4H","Tue May 26 2026 13:54:23 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","274","456","0","434","434","488","488","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_24 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_24 GMT+0900 (한국 표준시).csv","B0FJYSPK3H","Tue May 26 2026 13:54:24 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","156","574","0","518","518","605","605","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
